LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2010-2012,575,18.4,565,18.1,1140,36.5,ELEMENTARY,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2010-2012,380,19.4,416,21.3,796,40.7,MIDDLE/HIGH,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2012-2014,873,17.2,994,19.6,1867,36.9,DISTRICT TOTAL,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2012-2014,551,17.2,571,17.8,1122,35,ELEMENTARY,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2012-2014,292,16,413,22.6,705,38.6,MIDDLE/HIGH,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2014-2016,926,17.6,1028,19.5,1954,37.2,DISTRICT TOTAL,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2014-2016,515,16.7,520,16.8,1035,33.5,ELEMENTARY,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2014-2016,404,18.9,494,23.1,898,42.1,MIDDLE/HIGH,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2016-2018,775,17,921,20.2,1696,37.1,DISTRICT TOTAL,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2016-2018,499,16.6,554,18.5,1053,35.1,ELEMENTARY,COUNTY,,,,,,,
4,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2016-2018,255,16.9,349,23.1,604,40,MIDDLE/HIGH,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2010-2012,590,16.3,782,21.7,1372,38,DISTRICT TOTAL,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2010-2012,368,16.3,495,21.9,863,38.2,ELEMENTARY,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2010-2012,213,16,294,22,507,38,MIDDLE/HIGH,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2012-2014,538,15.3,755,21.4,1293,36.7,DISTRICT TOTAL,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2012-2014,354,15,503,21.3,857,36.4,ELEMENTARY,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2012-2014,207,15.9,280,21.5,487,37.5,MIDDLE/HIGH,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2014-2016,581,17.3,642,19.1,1223,36.5,DISTRICT TOTAL,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2014-2016,335,16.3,379,18.4,714,34.7,ELEMENTARY,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2014-2016,251,19.5,268,20.8,519,40.3,MIDDLE/HIGH,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2016-2018,583,16.5,745,21.1,1328,37.7,DISTRICT TOTAL,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2016-2018,371,16.6,424,19,795,35.6,ELEMENTARY,COUNTY,,,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2016-2018,212,16.5,320,24.9,532,41.5,MIDDLE/HIGH,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2010-2012,1110,16.2,1300,19,2410,35.2,DISTRICT TOTAL,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2010-2012,668,15.6,723,16.8,1391,32.4,ELEMENTARY,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2010-2012,466,16.8,622,22.5,1088,39.3,MIDDLE/HIGH,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2012-2014,1123,16.9,1285,19.3,2408,36.2,DISTRICT TOTAL,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2012-2014,636,15.6,701,17.2,1337,32.7,ELEMENTARY,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2012-2014,484,18.6,575,22.1,1059,40.7,MIDDLE/HIGH,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2014-2016,1077,17,1212,19.2,2289,36.3,DISTRICT TOTAL,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2014-2016,629,16.3,689,17.9,1318,34.3,ELEMENTARY,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2014-2016,449,18.4,507,20.7,956,39.1,MIDDLE/HIGH,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2016-2018,1105,16.4,1400,20.7,2505,37.1,DISTRICT TOTAL,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2016-2018,691,16.4,804,19.1,1495,35.5,ELEMENTARY,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2016-2018,400,16.3,590,24,990,40.3,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2010-2012,553,18.2,524,17.2,1077,35.4,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2010-2012,312,18.2,320,18.7,632,36.9,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2010-2012,241,17,204,14.4,445,31.4,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,514,17,557,18.4,1071,35.5,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,345,16.3,398,18.8,743,35.2,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,169,18.8,158,17.6,327,36.5,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2014-2016,514,17.3,633,21.3,1147,38.6,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2014-2016,314,18.5,340,20.1,654,38.6,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2014-2016,194,15.2,293,22.9,487,38.2,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2016-2018,625,18.3,828,24.3,1453,42.6,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2016-2018,393,18.9,446,21.5,839,40.4,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2016-2018,232,17.5,375,28.3,607,45.8,MIDDLE/HIGH,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2010-2012,481,18,581,21.8,1062,39.8,DISTRICT TOTAL,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2010-2012,267,17.1,324,20.8,591,37.9,ELEMENTARY,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2010-2012,196,19,219,21.2,415,40.3,MIDDLE/HIGH,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,433,18,481,20,914,38.1,DISTRICT TOTAL,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,257,18.3,259,18.4,516,36.8,ELEMENTARY,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,180,18,241,24.1,421,42.1,MIDDLE/HIGH,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2014-2016,429,17.6,518,21.2,947,38.9,DISTRICT TOTAL,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2014-2016,244,16.2,301,20,545,36.2,ELEMENTARY,COUNTY,,,,,,,
