,last_ais_update,legacy_id,model,type,roles,imo,mmsi,abs,class,mass_kg,mass_lbs,year_built,home_port,status,speed_kn,course_deg,latitude,longitude,link,image,name,active,launches,id,conteo_naves
0,,AMERICANCHAMPION,,Tug,"['Support Ship', 'Barge Tug']",7434016.0,367020820.0,571252.0,7604342.0,266712.0,588000.0,1976.0,Port of Los Angeles,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:434663/mmsi:367020820/imo:7434016/vessel:AMERICAN_CHAMPION,https://i.imgur.com/woCxpkj.jpg,American Champion,False,"['5eb87cdeffd86e000604b330', '5eb87cdfffd86e000604b331']",5ea6ed2d080df4000697c901,FALSO
1,,AMERICANISLANDER,,Cargo,['Dragon Recovery'],,367035570.0,,,449964.0,,,Port of Los Angeles,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:435112/mmsi:367035570/imo:0/vessel:AMERICAN_ISLANDER,https://i.imgur.com/jmj8Sh2.jpg,American Islander,False,"['5eb87ce0ffd86e000604b332', '5eb87ce1ffd86e000604b333', '5eb87ce4ffd86e000604b337', '5eb87ce7ffd86e000604b33b']",5ea6ed2d080df4000697c902,FALSO
2,,AMERICANSPIRIT,,Cargo,['Support Ship'],,,,,449964.0,,,Port of Los Angeles,,,,,,,,American Spirit,False,['5eb87ce1ffd86e000604b334'],5ea6ed2d080df4000697c903,FALSO
3,,ASOG,,Barge,['ASDS barge'],,,,,449964.0,,2021.0,Port Canaveral,,,,,,,,A Shortfall of Gravitas,True,"['5fe3b11eb3467846b324216c', '5fe3b15eb3467846b324216d', '6161c94c6db1a92bfba85349', '61d5eca1f88e4c5fc91f1eb7', '61e048bbbe8d8b66799018d0']",5ea6ed2d080df4000697c904,VERDADERO
4,,BETTYRGAMBARELLA,,Tug,['ASDS Tug'],7517478.0,368000890.0,562590.0,7427463.0,202302.0,446000.0,1974.0,Port of Los Angeles,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:1190856/mmsi:368000890/imo:7517478/vessel:BETTY_R_GAMBARELLA,https://i.imgur.com/ngYgFnn.jpg,Betty R Gambarella,False,"['5eb87d08ffd86e000604b357', '5eb87d0affd86e000604b359']",5ea6ed2e080df4000697c905,FALSO
5,,ELSBETH3,,Tug,['ASDS Tug'],8983375.0,367017460.0,,,273063.0,602000.0,1999.0,Port Canaveral,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:434560/mmsi:367017460/imo:8983375/vessel:ELSBETH_III,https://i.imgur.com/1s5DUbJ.jpg,Elsbeth III,False,"['5eb87ce8ffd86e000604b33c', '5eb87ceaffd86e000604b33d', '5eb87cecffd86e000604b33f', '5eb87ceeffd86e000604b341', '5eb87cf2ffd86e000604b344', '5eb87cf3ffd86e000604b345', '5eb87cf5ffd86e000604b346', '5eb87cf6ffd86e000604b347', '5eb87cf8ffd86e000604b348', '5eb87cf9ffd86e000604b349', '5eb87cfaffd86e000604b34a', '5eb87d00ffd86e000604b34f', '5eb87d04ffd86e000604b353', '5eb87d09ffd86e000604b358']",5ea6ed2e080df4000697c906,FALSO
6,,GOMSCHIEF,,High Speed Craft,['Fairing Recovery'],9744453.0,338035000.0,1247527.0,14245747.0,449964.0,992000.0,2014.0,Port Canaveral,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:5126789/mmsi:338035000/imo:9744453/vessel:GO_MS_CHIEF,https://imgur.com/NHsx95l.jpg,GO Ms Chief,False,"['5eb87d3bffd86e000604b37f', '5eb87d3fffd86e000604b382', '5eb87d41ffd86e000604b383', '5eb87d44ffd86e000604b386', '5eb87d45ffd86e000604b387', '5eb87d46ffd86e000604b389', '5eb87d50ffd86e000604b394', '5ed9819a1f30554030d45c29', '5ed981d91f30554030d45c2a', '5eb87d47ffd86e000604b38a', '5ef6a2090059c33cee4a828b', '5ef6a2bf0059c33cee4a828c', '5ef6a2e70059c33cee4a8293', '5eb87d4cffd86e000604b38d', '5fb95b3f3a88ae63c954603c', '5eb87d4fffd86e000604b393', '5fbfecce54ceb10a5664c80a', '5fd386aa7faea57d297c86c1', '5ff6554f9257f579ee3a6c5f']",5ea6ed2e080df4000697c907,FALSO
7,,GOMSTREE,,High Speed Craft,['Fairing Recovery'],9744465.0,368059550.0,1249191.0,15252765.0,449964.0,992000.0,2015.0,Port Canaveral,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:3439091/mmsi:368099550/imo:9744465/vessel:GO_MS_TREE,https://i.imgur.com/MtEgYbY.jpg,GO Ms Tree,False,"['5eb87d0dffd86e000604b35b', '5eb87d0fffd86e000604b35d', '5eb87d14ffd86e000604b361', '5eb87d16ffd86e000604b363', '5eb87d1affd86e000604b367', '5eb87d1fffd86e000604b36b', '5eb87d25ffd86e000604b370', '5eb87d35ffd86e000604b37a', '5eb87d37ffd86e000604b37c', '5eb87d39ffd86e000604b37d', '5eb87d3bffd86e000604b37f', '5eb87d3cffd86e000604b380', '5eb87d3fffd86e000604b382', '5eb87d41ffd86e000604b383', '5eb87d44ffd86e000604b386', '5eb87d45ffd86e000604b387', '5eb87d46ffd86e000604b389', '5eb87d50ffd86e000604b394', '5ed9819a1f30554030d45c29', '5ed981d91f30554030d45c2a', '5ef6a1e90059c33cee4a828a', '5ef6a2090059c33cee4a828b', '5ef6a2bf0059c33cee4a828c', '5ef6a2e70059c33cee4a8293', '5f8399fb818d8b59f5740d43', '5eb87d4fffd86e000604b393', '5fbfecce54ceb10a5664c80a', '5fd386aa7faea57d297c86c1', '5ff6554f9257f579ee3a6c5f']",5ea6ed2e080df4000697c908,FALSO
8,,SHANNON,,Cargo,"['Support Ship', 'Fairing Recovery']",9566887.0,367550000.0,1221524.0,9204358.0,451778.0,996000.0,2009.0,Port Canaveral,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:452540/mmsi:367550000/imo:9566887/vessel:GO_NAVIGATOR,https://i.imgur.com/MjNWzhO.jpg,Shannon,True,"['5eb87d2dffd86e000604b376', '5eb87d30ffd86e000604b378', '5eb87d35ffd86e000604b37a', '5eb87d37ffd86e000604b37c', '5eb87d39ffd86e000604b37d', '5eb87d3cffd86e000604b380', '5eb87d46ffd86e000604b388', '5eb87d4dffd86e000604b38e', '600f9a718f798e2a4d5f979d', '600f9a8d8f798e2a4d5f979e', '5fe3af58b3467846b324215f', '6079bd399a06446e8c61bf77', '5fe3af6db3467846b3242160', '5fe3b15eb3467846b324216d', '61eefaa89eb1064137a1bd73']",5ea6ed2e080df4000697c909,VERDADERO
9,,GOPURSUIT,,Cargo,"['Support Ship', 'Fairing Recovery']",9458884.0,367191410.0,1201189.0,7174230.0,502999.0,1108925.0,2007.0,Port Canaveral,,,,,,https://www.marinetraffic.com/en/ais/details/ships/shipid:439594/mmsi:367191410/imo:9458884/vessel:GO_PURSUIT,https://i.imgur.com/5w1ZWre.jpg,GO Pursuit,False,"['5eb87d18ffd86e000604b365', '5eb87d19ffd86e000604b366', '5eb87d1bffd86e000604b368', '5eb87d1effd86e000604b36a']",5ea6ed2e080df4000697c90a,FALSO
